iter	RMSE
0	0.2545184105
1	0.2535503442
2	0.2525779053
3	0.2517420901
4	0.2511411096
5	0.2507557769
6	0.2504913645
7	0.2501291882
8	0.2497833764
9	0.2494321801
10	0.2491363931
11	0.2483371651
12	0.247689434
13	0.2468787634
14	0.2456963967
15	0.245287007
16	0.2444670281
17	0.2437801272
18	0.2432285628
19	0.2429923245
20	0.2426449987
21	0.2420408208
22	0.241463741
23	0.2406163057
24	0.240208271
25	0.2393261594
26	0.2384398014
27	0.2380505456
28	0.2375643084
29	0.2367947391
30	0.2362890905
31	0.2360785196
32	0.2356014988
33	0.2350916998
34	0.2344427663
35	0.2338584875
36	0.2333471534
37	0.232844815
38	0.2324930388
39	0.2318414796
40	0.2315016293
41	0.2309452324
42	0.2305075092
43	0.2302022618
44	0.2293692412
45	0.2291330892
46	0.2281789451
47	0.227558741
48	0.2271102892
49	0.2260619677
50	0.2252277133
51	0.2246093992
52	0.2238547464
53	0.2232989147
54	0.222542016
55	0.2222934224
56	0.2220187257
57	0.2215727226
58	0.2213790003
59	0.220890478
60	0.2201238403
61	0.2195200955
62	0.2184906591
63	0.2182547915
64	0.2174632921
65	0.216932702
66	0.2164763177
67	0.2162190096
68	0.2153146572
69	0.2144576763
70	0.2138238301
71	0.2128376427
72	0.2121254121
73	0.2113994043
74	0.2109734967
75	0.2104986252
76	0.2097524257
77	0.2093022516
78	0.2087220831
79	0.2077361036
80	0.2070905287
81	0.2068651395
82	0.2067218917
83	0.20627017
84	0.2060131332
85	0.2053437091
86	0.2048746105
87	0.2043145417
88	0.2039467043
89	0.2037119091
90	0.2029519486
91	0.2026514094
92	0.2024609409
93	0.2018936567
94	0.2010647471
95	0.2004698784
96	0.1999165452
97	0.199260718
98	0.1986248708
99	0.1984073352
100	0.1978707691
101	0.1972994028
102	0.1967047799
103	0.196191251
104	0.1958877305
105	0.1957039077
106	0.1950430039
107	0.1945622817
108	0.1939889746
109	0.1938075267
110	0.1931009193
111	0.1925860764
112	0.192226335
113	0.1920120666
114	0.1918386155
115	0.191523871
116	0.1913625002
117	0.1906589567
118	0.1903550184
119	0.1900757394
120	0.1898866385
121	0.1895795383
122	0.1893098494
123	0.1884048329
124	0.1879252923
125	0.187552246
126	0.187331751
127	0.1871550491
128	0.1862883445
129	0.1856159252
130	0.1853620676
131	0.1850072226
132	0.1848577538
133	0.1847033417
134	0.1845166897
135	0.1842163322
136	0.183726256
137	0.1829587489
138	0.1827186263
139	0.1825609524
140	0.18233729
141	0.1817101156
142	0.1813532098
143	0.1809864838
144	0.1805643703
145	0.1799423147
146	0.17955948
147	0.1789707412
148	0.1781395014
149	0.1779105743
150	0.1776388748
151	0.1771163931
152	0.1763276686
153	0.1756640632
154	0.1755108767
155	0.1749062722
156	0.1743685834
157	0.1741287367
158	0.17344774
159	0.1731582073
160	0.1727809973
161	0.1722627581
162	0.1720159468
163	0.1716917265
164	0.1711005445
165	0.1704565965
166	0.1699100897
167	0.1696275613
168	0.1691516561
169	0.1684780675
170	0.1679942984
171	0.167843637
172	0.1675393651
173	0.1673836392
174	0.1671803257
175	0.1667653939
176	0.1661135948
177	0.1657640399
178	0.1652537199
179	0.1649648784
180	0.1643733905
181	0.1642797003
182	0.163910044
183	0.1631358601
184	0.1625524379
185	0.1619913694
186	0.1617309224
187	0.1613861494
188	0.1609549369
189	0.1603623745
190	0.1598900514
191	0.1594696994
192	0.159242945
193	0.1590194923
194	0.1587612369
195	0.1585483919
196	0.1583105135
197	0.1580906699
198	0.1578637783
199	0.1575737434
200	0.1569902243
201	0.1567804821
202	0.1564878023
203	0.1559289149
204	0.1557407916
205	0.1553418235
206	0.1547335968
207	0.1542540772
208	0.1540936287
209	0.1538549459
210	0.1535278057
211	0.1532811155
212	0.1526396354
213	0.1524400884
214	0.1522783852
215	0.1516599919
216	0.1514716505
217	0.1511528014
218	0.1510152229
219	0.150461933
220	0.1503206712
221	0.1498628032
222	0.1494505557
223	0.1492312323
224	0.1488955132
225	0.1486267805
226	0.1484263724
227	0.1480524922
228	0.1476891478
229	0.1474577525
230	0.1469064826
231	0.1466920053
232	0.1465690969
233	0.1462035168
234	0.1460642892
235	0.14557861
236	0.1451013127
237	0.1449455054
238	0.1447504388
239	0.1445904213
240	0.1441646473
241	0.1436395129
242	0.1432131529
243	0.142966156
244	0.1425926741
245	0.1423671031
246	0.1422159126
247	0.1416879737
248	0.1412004914
249	0.140836148
250	0.1405073655
251	0.1401597322
252	0.1396542664
253	0.1393871055
254	0.139259521
255	0.138944629
256	0.1384653467
257	0.1383410949
258	0.1379154091
259	0.1376086905
260	0.1374430309
261	0.1368374322
262	0.1363677394
263	0.1361107503
264	0.1358354724
265	0.1356573505
266	0.1355054304
267	0.135065802
268	0.1348392066
269	0.1344866304
270	0.134306497
271	0.1338093381
272	0.1337040338
273	0.133234551
274	0.132962276
275	0.1327529873
276	0.1324058743
277	0.1319004073
278	0.1317319569
279	0.131373423
280	0.1309935618
281	0.1306632702
282	0.1302777231
283	0.1301677422
284	0.1298852922
285	0.129548401
286	0.1293822171
287	0.1289951318
288	0.1286347423
289	0.1282479046
290	0.127999853
291	0.1277866048
292	0.1274161308
293	0.1269493518
294	0.1268166471
295	0.1265333797
296	0.1262117448
297	0.1257413118
298	0.1253544316
299	0.1250569742
300	0.1248544134
301	0.1246564601
302	0.1242488723
303	0.1241043477
304	0.1236858249
305	0.1231235415
306	0.1230173874
307	0.1228214933
308	0.1225752065
309	0.1223856588
310	0.1221721125
311	0.1220211177
312	0.121863212
313	0.1215355369
314	0.1214005622
315	0.1212790558
316	0.1210677312
317	0.1207979235
318	0.1204407958
319	0.1202585293
320	0.1199491027
321	0.119597104
322	0.1192854567
323	0.1189183137
324	0.1185684289
325	0.1183405306
326	0.117917387
327	0.1177841156
328	0.1174470021
329	0.1173111373
330	0.1171150019
331	0.1169366767
332	0.1167908285
333	0.116438428
334	0.11609629
335	0.1158405379
336	0.1154953202
337	0.1150635425
338	0.1148704179
339	0.1145004203
340	0.114282894
341	0.1141545094
342	0.1139671428
343	0.1138236649
344	0.1135348582
345	0.1131567904
346	0.1128703225
347	0.1127342131
348	0.1125201822
349	0.1123855001
350	0.1121845911
351	0.1118634078
352	0.1117265638
353	0.1115567952
354	0.1114334997
355	0.1111312666
356	0.1107741229
357	0.1104169825
358	0.1099423109
