iter	Passed	Remaining
0	62	62265
1	65	32854
2	68	22792
3	71	17759
4	73	14595
5	76	12625
6	79	11265
7	82	10248
8	86	9486
9	88	8784
10	90	8164
11	93	7662
12	94	7210
13	96	6825
14	99	6562
15	102	6304
16	105	6076
17	107	5849
18	109	5666
19	112	5528
20	115	5379
21	118	5258
22	121	5178
23	123	5033
24	126	4924
25	128	4828
26	131	4727
27	133	4646
28	136	4556
29	138	4465
30	140	4383
31	142	4300
32	145	4249
33	146	4171
34	148	4098
35	150	4029
36	152	3981
37	156	3949
38	158	3903
39	160	3861
40	164	3840
41	165	3785
42	168	3747
43	170	3697
44	173	3674
45	175	3641
46	178	3621
47	180	3585
48	182	3544
49	186	3534
50	187	3496
51	190	3481
52	193	3454
53	196	3436
54	198	3415
55	201	3404
56	204	3390
57	208	3388
58	211	3372
59	214	3360
60	216	3337
61	220	3328
62	221	3299
63	224	3285
64	227	3265
65	229	3247
66	232	3235
67	234	3210
68	236	3191
69	239	3182
70	242	3173
71	245	3157
72	248	3150
73	251	3142
74	254	3139
75	256	3120
76	259	3111
77	261	3095
78	263	3074
79	265	3057
80	268	3044
81	271	3041
82	274	3036
83	277	3031
84	281	3030
85	285	3030
86	287	3017
87	290	3006
88	291	2988
89	293	2969
90	295	2955
91	298	2944
92	301	2941
93	304	2934
94	307	2926
95	309	2918
96	312	2912
97	315	2901
98	317	2890
99	320	2886
100	324	2887
101	326	2877
102	329	2870
103	332	2865
104	335	2862
105	338	2852
106	340	2843
107	342	2832
108	345	2827
109	348	2818
110	351	2812
111	354	2806
112	356	2794
113	358	2789
114	361	2779
115	363	2770
116	366	2763
117	369	2758
118	372	2755
119	375	2750
120	377	2743
121	379	2733
122	382	2729
123	385	2726
124	388	2721
125	391	2717
126	393	2705
127	397	2704
128	400	2705
129	402	2693
130	404	2681
131	406	2670
132	408	2662
133	411	2657
134	413	2649
135	416	2648
136	418	2637
137	421	2632
138	423	2624
139	426	2620
140	429	2617
141	432	2611
142	435	2608
143	438	2603
144	440	2597
145	442	2590
146	444	2581
147	447	2574
148	450	2575
149	452	2566
150	456	2566
151	459	2566
152	461	2556
153	464	2549
154	467	2546
155	469	2539
156	471	2534
157	473	2524
158	476	2519
159	479	2516
160	482	2512
161	484	2507
162	486	2500
163	489	2496
164	492	2493
165	495	2487
166	497	2481
167	499	2474
168	502	2471
169	506	2470
170	508	2467
171	512	2466
172	515	2465
173	518	2461
174	520	2455
175	523	2449
176	525	2445
177	528	2440
178	531	2437
179	533	2431
180	536	2428
181	538	2422
182	542	2422
183	545	2419
184	547	2411
185	550	2410
186	553	2405
187	555	2400
188	558	2395
189	559	2387
190	562	2382
191	564	2376
192	567	2371
193	569	2366
194	573	2365
195	576	2363
196	579	2360
197	581	2354
198	584	2351
199	586	2346
200	589	2343
201	591	2335
202	594	2333
203	597	2330
204	599	2325
205	601	2318
